gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,math_score_original,reading_score_original,writing_score_original,gender_original,race/ethnicity_original,parental_level_of_education_original,lunch_original,test_preparation_course_original,math_score_binned
0,1,4,1,1,-0.2577684815257622,-0.3397036128245363,-0.5303878338383837,63,65,61,female,group B,some college,standard,none,1
0,4,3,0,1,-0.7461346795742957,0.16376092136377138,-0.25299098770941075,56,72,65,female,group E,master's degree,free/reduced,none,0
1,3,4,1,1,-1.8624002751138007,-1.9939442251575472,-2.1254196990799783,40,42,38,male,group D,some college,standard,none,0
1,4,4,1,1,2.114295908995686,1.2426134946244307,0.9259456083387243,97,87,82,male,group E,some college,standard,none,2
1,4,0,1,0,0.998030313456181,0.811072465320167,0.7178979737419946,81,81,79,male,group E,associate's degree,standard,completed,2
0,3,0,1,1,0.5096641154076476,0.811072465320167,0.9952948198709675,74,81,83,female,group D,associate's degree,standard,none,1
0,3,5,0,1,-1.16473427790161,-0.41162711770858024,-0.6690862569028702,50,64,59,female,group D,some high school,free/reduced,none,0
0,3,0,0,0,0.5794307151288666,1.4583840092765625,1.3420408775321837,75,90,88,female,group D,associate's degree,free/reduced,completed,1
1,1,0,0,1,-0.6763680798530766,-0.9870151567809319,-0.8077846799673566,57,56,57,male,group B,associate's degree,free/reduced,none,0
1,2,0,0,1,-0.8159012792955147,-0.6273976323607121,-1.0158323145640864,55,61,54,male,group C,associate's degree,free/reduced,none,0
0,2,0,1,1,-0.6066014801318576,0.23568442624781533,-0.044943353112681036,58,73,68,female,group C,associate's degree,standard,none,0
0,1,0,1,1,-0.9554344787379528,-0.843168147012844,-0.25299098770941075,53,58,65,female,group B,associate's degree,standard,none,0
1,1,4,0,0,-0.5368348804106384,-0.3397036128245363,-0.1836417761771675,59,65,66,male,group B,some college,free/reduced,completed,0
0,4,0,0,1,-1.16473427790161,-0.9870151567809319,-1.0158323145640864,50,56,54,female,group E,associate's degree,free/reduced,none,0
1,1,0,1,1,-0.11823528208332405,-1.1308621665490197,-0.8077846799673566,65,54,57,male,group B,associate's degree,standard,none,1
0,0,0,1,0,-0.8159012792955147,-0.3397036128245363,-0.46103862230614046,55,65,62,female,group A,associate's degree,standard,completed,0
0,2,2,1,1,-0.04846868236210499,0.09183741647972742,0.5098503391452649,66,71,76,female,group C,high school,standard,none,1
0,3,0,0,0,-0.6763680798530766,0.3076079311318593,0.5098503391452649,57,74,76,female,group D,associate's degree,free/reduced,completed,0
1,2,2,1,0,1.0677969131774,1.026842979972299,0.9259456083387243,82,84,82,male,group C,high school,standard,completed,2
1,4,4,1,1,-0.9554344787379528,-1.0589386616649759,-1.4319275837575458,53,55,48,male,group E,some college,standard,none,0
1,4,0,0,0,0.7189639145713047,-0.05200959328836049,-0.044943353112681036,77,69,68,male,group E,associate's degree,free/reduced,completed,1
1,2,4,1,1,-0.9554344787379528,-1.8500972153894593,-1.8480228529510052,53,44,42,male,group C,some college,standard,none,0
1,3,2,1,1,1.4863965115047144,0.5953019506680352,0.4405011276130216,88,78,75,male,group D,high school,standard,none,2
0,2,5,0,0,0.30036431624399035,1.026842979972299,1.2726916659999405,71,84,87,female,group C,some high school,free/reduced,completed,1
0,2,2,0,1,-2.3507664731623343,-2.065867730041591,-1.7786736414187618,33,41,43,female,group C,high school,free/reduced,none,0
0,4,0,1,0,1.0677969131774,1.0987664848563428,1.2033424544676972,82,85,86,female,group E,associate's degree,standard,completed,2
1,3,0,1,1,-1.0252010784591719,-1.0589386616649759,-1.3625783722253024,52,55,49,male,group D,associate's degree,standard,none,0
1,3,4,1,0,-0.6066014801318576,-0.7712446421288001,-0.7384354684351134,58,59,58,male,group D,some college,standard,completed,0
1,4,1,0,0,0.8584971140137428,0.3076079311318593,0.2324534930162919,79,74,72,male,group E,bachelor's degree,free/reduced,completed,1
1,0,5,0,1,-1.9321668748350198,-2.2097147398096793,-2.402816545208951,39,39,34,male,group A,some high school,free/reduced,none,0
1,0,0,0,1,-0.3275350812469813,-0.6273976323607121,-0.9464831030318431,62,61,55,male,group A,associate's degree,free/reduced,none,1
0,2,0,1,1,0.1608311168015522,0.739148960436123,0.16310428148404868,69,80,71,female,group C,associate's degree,standard,none,1
0,3,5,1,1,-0.5368348804106384,-0.843168147012844,-0.6690862569028702,59,58,59,female,group D,some high school,standard,none,0
1,1,5,1,1,0.02129791735911408,-0.41162711770858024,-0.5303878338383837,67,64,61,male,group B,some high school,standard,none,1
1,3,5,0,1,-1.5135672765077055,-2.353561749577767,-2.1947689106122215,45,37,37,male,group D,some high school,free/reduced,none,0
0,2,4,1,1,-0.4670682806894194,0.16376092136377138,0.37115191608077835,60,72,74,female,group C,some college,standard,none,0
1,1,0,0,1,-0.39730168096820034,-0.843168147012844,-0.8771338914995999,61,58,56,male,group B,associate's degree,free/reduced,none,1
0,2,0,1,1,-1.9321668748350198,-0.41162711770858024,-0.8077846799673566,39,64,57,female,group C,associate's degree,standard,none,0
0,3,4,0,0,-0.6066014801318576,-0.4835506225926242,0.30180270454853514,58,63,73,female,group D,some college,free/reduced,completed,0
1,3,4,1,0,-0.2577684815257622,-1.0589386616649759,-0.39168941077389724,63,55,63,male,group D,some college,standard,completed,1
0,0,0,0,1,-1.7926336753925818,-1.3466326812011518,-1.4319275837575458,41,51,48,female,group A,associate's degree,free/reduced,none,0
1,2,5,0,1,-0.39730168096820034,-0.9150916518968879,-0.8771338914995999,61,57,56,male,group C,some high school,free/reduced,none,1
1,2,5,1,1,-1.2345008776228292,-1.4904796909692395,-1.9173720644832484,49,49,41,male,group C,some high school,standard,none,0
1,1,0,0,1,-1.5833338762289244,-2.065867730041591,-2.1254196990799783,44,41,38,male,group B,associate's degree,free/reduced,none,0
1,0,1,1,0,0.928263713734962,0.5953019506680352,0.856596396806481,80,78,81,male,group A,bachelor's degree,standard,completed,2
0,3,5,1,0,-0.39730168096820034,0.3076079311318593,0.2324534930162919,61,74,72,female,group D,some high school,standard,completed,1
0,4,3,1,1,-0.3275350812469813,-0.12393309817240444,-0.044943353112681036,62,68,68,female,group E,master's degree,standard,none,1
0,1,0,1,1,-1.3740340770652673,-1.4904796909692395,-1.2932291606930593,47,49,50,female,group B,associate's degree,standard,none,0
1,1,2,0,1,-1.2345008776228292,-1.7781737105054154,-1.6399752183542755,49,45,45,male,group B,high school,free/reduced,none,0
1,0,4,0,0,-1.16473427790161,-1.6343267007373274,-1.0158323145640864,50,47,54,male,group A,some college,free/reduced,completed,0
1,4,0,1,1,0.3701309159652094,-0.41162711770858024,-0.39168941077389724,72,64,63,male,group E,associate's degree,standard,none,1
1,3,2,0,1,-1.7228670756713627,-2.2097147398096793,-2.402816545208951,42,39,34,male,group D,high school,free/reduced,none,0
0,2,4,1,1,0.4398975156864285,0.739148960436123,0.9259456083387243,73,80,82,female,group C,some college,standard,none,1
0,2,4,0,1,0.6491973148500857,0.9549194750882549,1.3420408775321837,76,83,88,female,group C,some college,free/reduced,none,1
0,3,0,1,1,0.30036431624399035,0.09183741647972742,0.37115191608077835,71,71,74,female,group D,associate's degree,standard,none,1
0,0,4,1,1,-0.6066014801318576,0.019913911595683467,-0.11429256464492427,58,70,67,female,group A,some college,standard,none,0
0,3,5,1,1,0.4398975156864285,1.1706899897403868,0.9259456083387243,73,86,82,female,group D,some high school,standard,none,1
0,2,1,1,1,-0.11823528208332405,0.16376092136377138,0.37115191608077835,65,72,74,female,group C,bachelor's degree,standard,none,1
1,2,2,0,1,-2.7693660714896486,-2.569332264229899,-2.2641181221444646,27,34,36,male,group C,high school,free/reduced,none,0
1,2,2,1,1,0.30036431624399035,0.667225455552079,0.16310428148404868,71,79,71,male,group C,high school,standard,none,1
1,2,0,0,0,-1.6531004759501435,-1.7781737105054154,-1.2932291606930593,43,45,50,male,group C,associate's degree,free/reduced,completed,0
0,1,4,1,1,0.8584971140137428,1.1706899897403868,1.6194377236611566,79,86,92,female,group B,some college,standard,none,1
1,2,0,0,0,0.7887305142925238,0.811072465320167,0.9259456083387243,78,81,82,male,group C,associate's degree,free/reduced,completed,1
1,1,5,1,0,-0.11823528208332405,-0.26778010794049234,-0.46103862230614046,65,66,62,male,group B,some high school,standard,completed,1
0,4,4,1,0,-0.2577684815257622,0.16376092136377138,0.09375506995180544,63,72,70,female,group E,some college,standard,completed,1
0,3,4,0,1,-0.6066014801318576,-0.1958566030564484,-0.46103862230614046,58,67,62,female,group D,some college,free/reduced,none,0
0,3,1,1,1,-0.11823528208332405,-0.1958566030564484,-0.46103862230614046,65,67,62,female,group D,bachelor's degree,standard,none,1
1,1,4,1,1,0.8584971140137428,-0.1958566030564484,-0.11429256464492427,79,67,67,male,group B,some college,standard,none,1
1,3,1,1,0,0.09106451708033314,0.3076079311318593,0.37115191608077835,68,74,74,male,group D,bachelor's degree,standard,completed,1
0,3,0,1,1,1.2770967123410573,1.5303075141606066,1.4113900890644269,85,91,89,female,group D,associate's degree,standard,none,2
1,1,2,1,0,-0.4670682806894194,-1.8500972153894593,-1.501276795289789,60,44,47,male,group B,high school,standard,completed,0
1,2,4,1,0,2.184062508716905,1.1706899897403868,1.4807393005966702,98,86,90,male,group C,some college,standard,completed,2
0,2,4,1,1,-0.6066014801318576,-0.1958566030564484,0.2324534930162919,58,67,72,female,group C,some college,standard,none,0
0,3,3,1,1,1.4166299117834955,2.1776190581170023,2.1742314159191025,87,100,100,female,group D,master's degree,standard,none,2
1,4,0,1,0,-0.04846868236210499,-0.4835506225926242,-0.32234019924165397,66,63,64,male,group E,associate's degree,standard,completed,1
0,1,0,0,1,-1.0252010784591719,0.4514549408999472,0.09375506995180544,52,76,70,female,group B,associate's degree,free/reduced,none,0
0,1,5,1,1,0.23059771652277128,-0.41162711770858024,0.2324534930162919,70,64,72,female,group B,some high school,standard,none,1
0,3,0,0,0,0.7189639145713047,1.3864605043925187,2.035532992854616,77,89,98,female,group D,associate's degree,free/reduced,completed,1
1,2,2,1,1,-0.3275350812469813,-1.0589386616649759,-1.3625783722253024,62,55,49,male,group C,high school,standard,none,1
1,0,0,1,1,-0.8856678790167338,-1.2027856714330638,-1.501276795289789,54,53,47,male,group A,associate's degree,standard,none,0
0,3,4,1,1,-1.094967678180391,-0.843168147012844,-1.0158323145640864,51,58,54,female,group D,some college,standard,none,0
0,4,1,1,0,2.2538291084381243,2.1776190581170023,2.1742314159191025,99,100,100,female,group E,bachelor's degree,standard,completed,2
1,2,2,1,1,1.2073301126198381,0.5233784457839912,0.37115191608077835,84,77,74,male,group C,high school,standard,none,2
0,1,1,0,1,0.5794307151288666,1.0987664848563428,0.9259456083387243,75,85,82,female,group B,bachelor's degree,free/reduced,none,1
0,3,1,1,1,0.7887305142925238,0.882995970204211,0.7178979737419946,78,82,79,female,group D,bachelor's degree,standard,none,1
0,3,5,1,1,-1.094967678180391,-0.4835506225926242,-0.5303878338383837,51,63,61,female,group D,some high school,standard,none,0
0,2,4,1,1,-0.8159012792955147,-0.05200959328836049,-0.25299098770941075,55,69,65,female,group C,some college,standard,none,0
0,2,1,1,0,0.8584971140137428,1.6022310190446505,1.4113900890644269,79,92,89,female,group C,bachelor's degree,standard,completed,1
1,1,0,1,0,1.6956963106683718,1.3864605043925187,1.6194377236611566,91,89,92,male,group B,associate's degree,standard,completed,2
0,2,4,1,0,1.4863965115047144,1.6741545239286943,1.6887869351934,88,93,93,female,group C,some college,standard,completed,2
1,3,2,0,1,-0.2577684815257622,-0.9150916518968879,-0.8771338914995999,63,57,56,male,group D,high school,free/reduced,none,1
1,4,4,1,1,1.1375635128986192,0.739148960436123,0.30180270454853514,83,80,73,male,group E,some college,standard,none,2
0,1,2,1,1,1.4166299117834955,1.8180015336967823,1.2033424544676972,87,95,86,female,group B,high school,standard,none,2
1,1,5,1,1,0.3701309159652094,-0.12393309817240444,-0.11429256464492427,72,68,67,male,group B,some high school,standard,none,1
1,3,4,1,0,-0.11823528208332405,0.5233784457839912,0.37115191608077835,65,77,74,male,group D,some college,standard,completed,1
1,3,3,1,1,1.0677969131774,0.882995970204211,0.37115191608077835,82,82,74,male,group D,master's degree,standard,none,2
0,0,1,1,1,-1.094967678180391,-1.4904796909692395,-1.223879949160816,51,49,51,female,group A,bachelor's degree,standard,none,0
1,3,3,1,1,1.5561631112259335,1.026842979972299,0.9259456083387243,89,84,82,male,group D,master's degree,standard,none,2
1,2,5,0,0,-0.9554344787379528,-2.353561749577767,-1.9867212760154915,53,37,40,male,group C,some high school,free/reduced,completed,0
1,4,4,0,0,1.4166299117834955,0.3076079311318593,0.09375506995180544,87,74,70,male,group E,some college,free/reduced,completed,2
0,2,4,1,0,0.5794307151288666,0.811072465320167,1.0646440314032108,75,81,84,female,group C,some college,standard,completed,1
1,3,1,0,0,0.5096641154076476,0.667225455552079,0.4405011276130216,74,79,75,male,group D,bachelor's degree,free/reduced,completed,1
1,2,1,1,1,-0.6066014801318576,-1.0589386616649759,-1.4319275837575458,58,55,48,male,group C,bachelor's degree,standard,none,0
1,1,5,1,0,-1.094967678180391,-1.1308621665490197,-1.9173720644832484,51,54,41,male,group B,some high school,standard,completed,0
1,4,2,1,1,0.23059771652277128,-1.0589386616649759,-0.8771338914995999,70,55,56,male,group E,high school,standard,none,1
0,2,0,1,1,-0.5368348804106384,-0.26778010794049234,-0.11429256464492427,59,66,67,female,group C,associate's degree,standard,none,0
1,3,4,1,0,0.30036431624399035,-0.6273976323607121,0.0244058584195622,71,61,69,male,group D,some college,standard,completed,1
0,3,5,1,1,0.6491973148500857,0.16376092136377138,0.16310428148404868,76,72,71,female,group D,some high school,standard,none,1
0,2,4,0,1,-0.5368348804106384,-0.5554741274766681,-0.32234019924165397,59,62,64,female,group C,some college,free/reduced,none,0
0,4,4,0,0,-1.7228670756713627,-1.0589386616649759,-1.0158323145640864,42,55,54,female,group E,some college,free/reduced,completed,0
1,0,2,1,1,-0.6763680798530766,-1.9220207202735033,-1.501276795289789,57,43,47,male,group A,high school,standard,none,0
1,3,4,1,1,1.4863965115047144,0.23568442624781533,0.6485487622097513,88,73,78,male,group D,some college,standard,none,2
1,1,5,1,1,1.4863965115047144,1.026842979972299,0.4405011276130216,88,84,75,male,group B,some high school,standard,none,2
1,2,0,0,1,0.4398975156864285,-0.12393309817240444,-0.1836417761771675,73,68,66,male,group C,associate's degree,free/reduced,none,1
0,3,1,1,0,0.09106451708033314,0.3795314360159032,0.856596396806481,68,75,81,female,group D,bachelor's degree,standard,completed,1
1,4,0,0,0,2.3235957081593432,2.1776190581170023,1.6887869351934,100,100,93,male,group E,associate's degree,free/reduced,completed,2
1,0,5,1,0,-0.3275350812469813,-0.1958566030564484,0.0244058584195622,62,67,69,male,group A,some high school,standard,completed,1
1,0,1,1,1,0.7189639145713047,-0.1958566030564484,-0.044943353112681036,77,67,68,male,group A,bachelor's degree,standard,none,1
0,1,0,1,0,-0.5368348804106384,0.019913911595683467,-0.1836417761771675,59,70,66,female,group B,associate's degree,standard,completed,0
1,3,1,1,1,-0.8856678790167338,-1.4904796909692395,-1.501276795289789,54,49,47,male,group D,bachelor's degree,standard,none,0
1,3,5,1,1,-0.3275350812469813,-0.1958566030564484,-0.5303878338383837,62,67,61,male,group D,some high school,standard,none,1
0,2,4,1,0,0.23059771652277128,1.3864605043925187,1.3420408775321837,70,89,88,female,group C,some college,standard,completed,1
0,4,2,0,0,-0.04846868236210499,0.3076079311318593,0.6485487622097513,66,74,78,female,group E,high school,free/reduced,completed,1
1,1,4,0,1,-0.4670682806894194,-0.6993211372447561,-0.5997370453706269,60,60,60,male,group B,some college,free/reduced,none,0
0,1,0,1,0,-0.39730168096820034,1.1706899897403868,1.2726916659999405,61,86,87,female,group B,associate's degree,standard,completed,1
1,3,0,0,1,-0.04846868236210499,-0.5554741274766681,-0.32234019924165397,66,62,64,male,group D,associate's degree,free/reduced,none,1
1,1,0,0,0,1.0677969131774,0.5953019506680352,0.37115191608077835,82,78,74,male,group B,associate's degree,free/reduced,completed,2
0,4,4,0,0,0.5794307151288666,1.3145369995084746,1.133993242935454,75,88,85,female,group E,some college,free/reduced,completed,1
1,1,3,0,1,-1.2345008776228292,-1.2027856714330638,-1.1545307376285727,49,53,52,male,group B,master's degree,free/reduced,none,0
1,2,2,1,1,-1.0252010784591719,-1.2027856714330638,-1.3625783722253024,52,53,49,male,group C,high school,standard,none,0
0,4,3,1,1,0.998030313456181,1.6022310190446505,1.5500885121289134,81,92,91,female,group E,master's degree,standard,none,2
0,2,1,1,0,2.044529309274467,2.1776190581170023,2.1742314159191025,96,100,100,female,group C,bachelor's degree,standard,completed,2
1,2,2,0,0,-0.9554344787379528,-1.3466326812011518,-1.223879949160816,53,51,51,male,group C,high school,free/reduced,completed,0
0,1,3,0,0,-0.6066014801318576,0.4514549408999472,0.6485487622097513,58,76,78,female,group B,master's degree,free/reduced,completed,0
0,1,2,1,0,0.09106451708033314,0.9549194750882549,0.6485487622097513,68,83,78,female,group B,high school,standard,completed,1
0,2,4,0,0,0.02129791735911408,0.3795314360159032,0.09375506995180544,67,75,70,female,group C,some college,free/reduced,completed,1
1,0,2,1,0,0.3701309159652094,0.23568442624781533,0.37115191608077835,72,73,74,male,group A,high school,standard,completed,1
1,4,5,1,1,1.904996109832029,1.3145369995084746,0.6485487622097513,94,88,78,male,group E,some high school,standard,none,2
0,3,4,1,1,0.8584971140137428,1.1706899897403868,0.856596396806481,79,86,81,female,group D,some college,standard,none,1
0,2,0,1,1,-0.2577684815257622,-0.1958566030564484,0.09375506995180544,63,67,70,female,group C,associate's degree,standard,none,1
0,2,1,0,0,-1.6531004759501435,-1.3466326812011518,-1.0158323145640864,43,51,54,female,group C,bachelor's degree,free/reduced,completed,0
0,2,3,1,0,0.998030313456181,1.5303075141606066,1.2726916659999405,81,91,87,female,group C,master's degree,standard,completed,2
0,1,2,0,0,-1.4438006767864864,-1.1308621665490197,-0.7384354684351134,46,54,58,female,group B,high school,free/reduced,completed,0
0,2,0,1,0,0.30036431624399035,0.5233784457839912,0.5791995506775081,71,77,77,female,group C,associate's degree,standard,completed,1
0,1,3,0,0,-1.0252010784591719,0.019913911595683467,-0.46103862230614046,52,70,62,female,group B,master's degree,free/reduced,completed,0
0,3,5,1,0,2.114295908995686,2.1776190581170023,2.1742314159191025,97,100,100,female,group D,some high school,standard,completed,2
1,2,3,0,0,-0.3275350812469813,-0.12393309817240444,0.4405011276130216,62,68,75,male,group C,master's degree,free/reduced,completed,1
0,2,4,0,1,-1.4438006767864864,-0.41162711770858024,-0.1836417761771675,46,64,66,female,group C,some college,free/reduced,none,0
0,4,2,1,1,-1.16473427790161,-1.4185561860851956,-1.501276795289789,50,50,47,female,group E,high school,standard,none,0
0,3,0,1,1,-0.11823528208332405,-0.05200959328836049,0.09375506995180544,65,69,70,female,group D,associate's degree,standard,none,1
1,2,5,0,0,-1.5135672765077055,-1.2747091763171077,-1.3625783722253024,45,52,49,male,group C,some high school,free/reduced,completed,0
1,2,0,0,0,-0.11823528208332405,-0.1958566030564484,-0.25299098770941075,65,67,65,male,group C,associate's degree,free/reduced,completed,1
1,4,2,1,1,0.928263713734962,0.4514549408999472,-0.25299098770941075,80,76,65,male,group E,high school,standard,none,2
1,3,5,1,0,-0.3275350812469813,-0.26778010794049234,-0.044943353112681036,62,66,68,male,group D,some high school,standard,completed,1
1,1,5,0,1,-1.3042674773440481,-1.2747091763171077,-1.6399752183542755,48,52,45,male,group B,some high school,free/reduced,none,0
0,2,1,1,1,0.7189639145713047,1.3145369995084746,1.2726916659999405,77,88,87,female,group C,bachelor's degree,standard,none,1
0,4,0,1,1,-0.04846868236210499,-0.3397036128245363,0.0244058584195622,66,65,69,female,group E,associate's degree,standard,none,1
1,3,4,1,0,0.6491973148500857,0.9549194750882549,0.7178979737419946,76,83,79,male,group D,some college,standard,completed,1
0,1,5,1,1,-0.3275350812469813,-0.41162711770858024,-0.1836417761771675,62,64,66,female,group B,some high school,standard,none,1
1,3,4,1,0,0.7189639145713047,-0.5554741274766681,-0.46103862230614046,77,62,62,male,group D,some college,standard,completed,1
0,2,3,1,0,0.1608311168015522,1.026842979972299,1.133993242935454,69,84,85,female,group C,master's degree,standard,completed,1
1,3,0,1,1,-0.39730168096820034,-1.0589386616649759,-1.1545307376285727,61,55,52,male,group D,associate's degree,standard,none,1
1,2,5,0,0,-0.5368348804106384,-0.05200959328836049,-0.25299098770941075,59,69,65,male,group C,some high school,free/reduced,completed,0
1,4,2,0,1,-0.8159012792955147,-0.9870151567809319,-1.223879949160816,55,56,51,male,group E,high school,free/reduced,none,0
0,1,4,0,1,-1.5135672765077055,-1.2027856714330638,-0.9464831030318431,45,53,55,female,group B,some college,free/reduced,none,0
0,1,1,0,1,0.7887305142925238,0.667225455552079,0.5098503391452649,78,79,76,female,group B,bachelor's degree,free/reduced,none,1
0,2,0,1,0,0.02129791735911408,1.026842979972299,1.2033424544676972,67,84,86,female,group C,associate's degree,standard,completed,1
0,3,4,0,1,-0.11823528208332405,0.811072465320167,0.5791995506775081,65,81,77,female,group D,some college,free/reduced,none,1
1,2,0,1,1,0.1608311168015522,0.5233784457839912,0.0244058584195622,69,77,69,male,group C,associate's degree,standard,none,1
0,1,0,1,1,-0.6763680798530766,-0.05200959328836049,-0.044943353112681036,57,69,68,female,group B,associate's degree,standard,none,0
1,2,4,1,1,-0.5368348804106384,-2.065867730041591,-1.8480228529510052,59,41,42,male,group C,some college,standard,none,0
1,3,5,1,0,0.5096641154076476,0.09183741647972742,0.6485487622097513,74,71,78,male,group D,some high school,standard,completed,1
1,4,1,1,1,1.0677969131774,-0.5554741274766681,-0.46103862230614046,82,62,62,male,group E,bachelor's degree,standard,none,2
1,4,2,1,0,0.998030313456181,0.739148960436123,0.5098503391452649,81,80,76,male,group E,high school,standard,completed,2
0,1,4,0,1,0.5096641154076476,0.811072465320167,0.5098503391452649,74,81,76,female,group B,some college,free/reduced,none,1
0,1,4,0,1,-0.6066014801318576,-0.6273976323607121,-0.1836417761771675,58,61,66,female,group B,some college,free/reduced,none,0
1,3,5,0,0,0.928263713734962,0.667225455552079,0.7178979737419946,80,79,79,male,group D,some high school,free/reduced,completed,2
0,2,2,0,1,-1.7228670756713627,-0.5554741274766681,-0.5997370453706269,42,62,60,female,group C,high school,free/reduced,none,0
1,2,0,0,0,-0.4670682806894194,-1.3466326812011518,-0.8771338914995999,60,51,56,male,group C,associate's degree,free/reduced,completed,0
1,4,2,1,0,1.4166299117834955,1.5303075141606066,0.856596396806481,87,91,81,male,group E,high school,standard,completed,2
1,1,5,1,0,1.2073301126198381,0.9549194750882549,0.4405011276130216,84,83,75,male,group B,some high school,standard,completed,2
0,4,0,0,0,1.1375635128986192,1.1706899897403868,1.3420408775321837,83,86,88,female,group E,associate's degree,free/reduced,completed,2
0,2,2,0,1,-2.280999873441115,-1.9939442251575472,-2.0560704875477347,34,42,39,female,group C,high school,free/reduced,none,0
1,1,2,0,1,-0.04846868236210499,0.5233784457839912,0.09375506995180544,66,77,70,male,group B,high school,free/reduced,none,1
1,1,5,1,0,-0.39730168096820034,-0.9870151567809319,-0.8771338914995999,61,56,56,male,group B,some high school,standard,completed,1
0,3,2,1,0,-0.7461346795742957,-0.12393309817240444,0.37115191608077835,56,68,74,female,group D,high school,standard,completed,0
1,1,0,1,1,1.4166299117834955,1.0987664848563428,0.30180270454853514,87,85,73,male,group B,associate's degree,standard,none,2
0,2,5,0,1,-0.8159012792955147,-0.3397036128245363,-0.46103862230614046,55,65,62,female,group C,some high school,free/reduced,none,0
1,3,5,1,1,1.3468633120622764,0.739148960436123,0.4405011276130216,86,80,75,male,group D,some high school,standard,none,2
0,1,0,1,0,-1.0252010784591719,-0.26778010794049234,0.30180270454853514,52,66,73,female,group B,associate's degree,standard,completed,0
0,4,3,0,1,-1.5135672765077055,-0.9870151567809319,-1.0158323145640864,45,56,54,female,group E,master's degree,free/reduced,none,0
